Accession,Organism_Name,GenBank_RefSeq,Submitters,Organization,Org_location,Release_Date,Pangolin,PangoVersions,Surveillance_Sampling,Isolate,Species,Genus,Family,Molecule_type,Length,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Collection_Date,BioSample,BioProject
OV377238,Severe acute respiratory syndrome coronavirus 2,GenBank,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,09-01-2022,BA.1.1.15,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,28-12-2021,SAMEA12116233,PRJEB37886
OM969742,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,11-03-2022,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,RI-CDC-ASC210754831,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29723,partial,,,,USA: Rhode Island,USA,RI,Homo sapiens,,01-03-2022,SAMN26569351,PRJNA731148
ON753682,Severe acute respiratory syndrome coronavirus 2,GenBank,"Garfin,J., Plumb,M., Pung,K., Namugenyi,S., Mondelli,A., Hwang,H., Weber,B., Wang,X.","Minnesota Department of Health Infectious Disease Laboratory Submission Group, Public Health Laboratory - Infectious Disease Lab",USA,13-06-2022,BA.2.12.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,MN-MDH-26025,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29724,partial,,,,USA: Minnesota,USA,MN,Homo sapiens,"saliva, oronasopharynx",28-05-2022,SAMN29015457,PRJNA628662
ON648373,Severe acute respiratory syndrome coronavirus 2,GenBank,"Linares-Perdomo,O.J.","Utah Public Health Laboratory Infectious Disease submission group, Utah Public Health Laboratory",USA,01-06-2022,BA.2.12.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,UT-UPHL-220525679214,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29759,partial,,,,USA,USA,,Homo sapiens,,06-05-2022,SAMN28782113,PRJNA614995
MZ621551,Severe acute respiratory syndrome coronavirus 2,GenBank,"Lemieux,J.E., Siddle,K.J., Shaw,B., Adams,G., Pierce,V., Turbett,S., Anahtar,M., Branda,J., Slater,D., Harris,J., Lin,A.E., Gladden-Young,A., Lagerborg,K., Rudy,M., DeRuff,K., Carter,A., Normandin,E., Bauer,M., Reilly,S., Tomkins-Tinch,C., Loreth,C., Chaluvadi,S., Neumann,A., Cusick,C., Chapman,S.B., Gnirke,A., Flowers,K., Cerrato,F., Birren,B.W., Gallagher,G., Smole,S., Park,D.J., MacInnis,B.L., Ryan,E., LaRocque,R., Rosenberg,E., Sabeti,P.C.","Broad Institute of Harvard and MIT, Infectious Disease Program",USA,26-07-2021,AY.25,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,MA-CDCBI-CRSP_2JUILZVE2E5NJHQ3,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29867,partial,,,,USA: Massachusetts,USA,MA,Homo sapiens,,15-07-2021,SAMN20357067,PRJNA715749
OL567128,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,19-11-2021,AY.103,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,AZ-CDC-ASC210462638,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29816,partial,,,,USA: Arizona,USA,AZ,Homo sapiens,,15-10-2021,SAMN22977505,PRJNA731148
OV410438,Severe acute respiratory syndrome coronavirus 2,GenBank,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,11-01-2022,AY.34.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29803,partial,,,,Germany:Europe/Germany/Hesse,Germany,,Homo sapiens,,27-09-2021,SAMEA10681556,PRJEB44987
PP772487,Severe acute respiratory syndrome coronavirus 2,GenBank,"Zheng,Z., Zhang,C., Li,Z., Xu,J., Liang,L., Huang,S., Ouyang,F., Lu,J., Li,B.","Guangdong Provincial Institute of Public Health, Guangdong Provincial Institute of Public Health",China,09-05-2024,BF.7.14,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,GDCDC_CZ_0071,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29844,complete,,,,China: Guangdong,China,,Homo sapiens,,06-03-2023,,
OY788838,Severe acute respiratory syndrome coronavirus 2,GenBank,"Danish Covid-19 Genome,Consortium.","Artillerivej 5, 2300 Copenhagen S",Denmark,22-11-2023,EG.1.6,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,partial,,,,Denmark,Denmark,,Homo sapiens,,29-05-2023,SAMEA114650340,PRJEB49401
OY485434,Severe acute respiratory syndrome coronavirus 2,GenBank,,"Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw",,25-07-2023,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29896,complete,,,,United Kingdom:Wales,United Kingdom,,Homo sapiens,,08-08-2021,SAMEA9811846,PRJEB37886
OV524945,Severe acute respiratory syndrome coronavirus 2,GenBank,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,17-01-2022,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,08-12-2021,SAMEA11983916,PRJEB37886
OM782089,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Bixby,C., Wang,Y., Schultz,J., Goswami,C., Hager,R., Grimwood,R., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,23-02-2022,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,MN-CDC-IBX709481932321,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29778,partial,,,,USA: Minnesota,USA,MN,Homo sapiens,oronasopharynx,11-02-2022,SAMN26182009,PRJNA731149
OQ893662,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Unoarumhi,Y., Lacek,K.A., Morrison,S., Gulvik,C., Sula,E., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L.E., Livingston,K.E., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Mandal,P., Bajwa,M., Thornburg,N., Chau,R., Momin,N., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,01-05-2023,XBB.1.5,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,NY-CDC-QDX49175530,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29721,partial,,,,USA: New York,USA,NY,Homo sapiens,oronasopharynx,16-04-2023,SAMN34442377,PRJNA716985
OW148700,Severe acute respiratory syndrome coronavirus 2,GenBank,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,15-03-2022,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29862,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,02-03-2022,SAMEA13351040,PRJEB37886
OU555247,Severe acute respiratory syndrome coronavirus 2,GenBank,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,21-08-2021,AY.120,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,07-08-2021,SAMEA9708168,PRJEB37886
OX216625,Severe acute respiratory syndrome coronavirus 2,GenBank,"Danish Covid-19 Genome,Consortium.","Artillerivej 5, 2300 Copenhagen S",Denmark,11-07-2022,BA.4.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29861,partial,,,,Denmark:Hovedstaden,Denmark,,Homo sapiens,,05-06-2022,SAMEA110317112,PRJEB49401
OU328964,Severe acute respiratory syndrome coronavirus 2,GenBank,"Wynn,J., Hyland,M., The Lighthouse Lab in Alderley,Park., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,06-07-2021,AY.120,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,05-06-2021,SAMEA9229619,PRJEB37886
OU090922,Severe acute respiratory syndrome coronavirus 2,GenBank,"VanSteenhouse,H., Kasai,Y., Gray,D., Clugston,C., Dominiczak,A., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,01-06-2021,B.1.1.7,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29882,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,18-03-2021,SAMEA8425720,PRJEB37886
OY778823,Severe acute respiratory syndrome coronavirus 2,GenBank,"Danish Covid-19 Genome,Consortium.","Borgmester Ib Juuls Vej 52, 5. etage, 2730 Herlev",Denmark,17-11-2023,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29876,partial,,,,Denmark,Denmark,,Homo sapiens,,18-07-2022,SAMEA114629676,PRJEB49401
MZ535678,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Moser,K., Paskey,A., Caravas,J., Rambo-Martin,B., Morrison,S., Gulvick,C., Sammons,S., Unoarumhi,Y., Wagner,D., Schmerer,M., Rosenthal,S.H., Gerasimova,A., Kagan,R.M., Anderson,B., Hua,M., Liu,Y., Bernstein,L., Livingston,K., Perez,A., Shlyakhter,I.A., Rolando,R.V., Owen,R., Tanpaiboon,P., Lacbawan,F., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch",USA,09-07-2021,AY.44,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,NV-CDC-QDX26215211,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,partial,,,,USA: Nevada,USA,NV,Homo sapiens,oronasopharynx,24-06-2021,SAMN20149106,PRJNA716985
OY713801,Severe acute respiratory syndrome coronavirus 2,GenBank,,"Suite 2, The Newnham Building, Chesterford Research Park, CB10 1XL",,04-08-2023,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,complete,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,23-02-2022,SAMEA113394545,PRJEB37886
OP372994,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Ca,H., Morrison,S., Gulvick,C., Sula,E., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,06-09-2022,BA.5.2.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,TX-CDC-STM-YPDEU2JK3,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29811,complete,,,,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,24-08-2022,SAMN30662701,PRJNA720050
OX475678,Severe acute respiratory syndrome coronavirus 2,GenBank,,"Kelvin Laboratories, Royal Hospitals site, Grosvenor Road, Belfast, BT12 6BA; and: Genomics Core Technology Unit, Queens University Belfast, 97 Lisburn Road, Belfast Bt9 7Bl",,29-04-2023,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29850,complete,,,,United Kingdom:Northern_Ireland,United Kingdom,,Homo sapiens,,05-03-2022,SAMEA112967692,PRJEB37886
OX426641,Severe acute respiratory syndrome coronavirus 2,GenBank,,"WoSSVC, New Lister Building, Glasgow Royal Infirmary, 10-16 Alexandra Parade - Level 5, Glasgow G31 2ER, Scotland, United Kingdom / MRC-UoG CVR, Sir Michael Stoker Building, Garscube Campus, 464 Bearsden Road, Glasgow G61 1QH, Scotland",United Kingdom,17-02-2023,BQ.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29841,complete,,,,United Kingdom:Scotland,United Kingdom,,Homo sapiens,,28-12-2022,SAMEA112634253,PRJEB37886
OW629102,Severe acute respiratory syndrome coronavirus 2,GenBank,,"RKI-OSEDA, Nordufer 20, 13353 Berlin",Germany,01-05-2022,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29609,partial,,,,Germany:Europe/Germany/Baden-Wurttemberg,Germany,,Homo sapiens,,06-03-2022,SAMEA14162617,PRJEB44987
OK590972,Severe acute respiratory syndrome coronavirus 2,GenBank,"Ir,D.","Colorado Department of Public Health and Environment, Microbiology",USA,25-10-2021,AY.44,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,CO-CDPHE-24404736,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29769,partial,,,,USA,USA,,Homo sapiens,,20-09-2021,SAMN22252234,PRJNA686984
PP205588,Severe acute respiratory syndrome coronavirus 2,GenBank,"Andersen,K.","The Scripps Research Institute, Immunology and Microbiology",USA,25-01-2024,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,SEARCH-80473,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29815,complete,,,,USA,USA,,Homo sapiens,,07-01-2022,SAMN36178039,PRJNA612578
OU397071,Severe acute respiratory syndrome coronavirus 2,GenBank,"Lighthouse Laboratory,Plymouth., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,13-07-2021,AY.10,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,27-06-2021,SAMEA9349825,PRJEB37886
OV294027,Severe acute respiratory syndrome coronavirus 2,GenBank,"Integrated Covid Hub North,East., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,20-12-2021,AY.4.2.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,28-11-2021,SAMEA11555820,PRJEB37886
ON953708,Severe acute respiratory syndrome coronavirus 2,GenBank,"Parrott,T., Balakrishnan,N., Talekar,S., Fields,A., Oelemann,M.","GPHL, Bacteriology",USA,08-07-2022,BA.5.5,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,GA-GPHL-1745,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29379,partial,,,,USA: GA,USA,GA,Homo sapiens,,22-06-2022,,
OM050691,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Sula,E., Clark,C., Campbell,P., Case,R., Ghorpade,V., Houdeshell,H., Kvalvaag,O., Nall,D., Sanders,E., Vest,A., Westlund,S., Hardison,M., Paden,C.R., MacCannell,D.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,29-12-2021,AY.98.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,IL-CDC-ASC210613248,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29781,partial,,,,USA: Illinois,USA,IL,Homo sapiens,,15-12-2021,SAMN24463993,PRJNA731148
MZ578775,Severe acute respiratory syndrome coronavirus 2,GenBank,"McCormick,K.P.","University of Pennsylvania, Microbiology",USA,20-07-2021,B.1.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,VSP1434,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29903,complete,,,,"USA: Pennsylvania, Philadelphia",USA,PA,Homo sapiens,,26-03-2021,,
OK201413,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,21-09-2021,AY.44,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,IL-CDC-LC0248355,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29767,partial,,,,USA: Illinois,USA,IL,Homo sapiens,oronasopharynx,19-08-2021,SAMN21486613,PRJNA716984
PQ987454,Severe acute respiratory syndrome coronavirus 2,GenBank,"Jimenez-Aray,B., Gourgeon,A., N'Debi,M., Thompson,T., Demontant,V., Simitambe,A., Lau,M., Boizeau,L., Cappy,P., Pawlotsky,J.-M., Fourati,S., Rodriguez,C.","APHP, Plateforme GenoBioMICS",France,22-01-2025,AY.122,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,21112100861,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29798,partial,,,,France,France,,Homo sapiens,oronasopharynx,02-11-2021,,
ON396377,Severe acute respiratory syndrome coronavirus 2,GenBank,"Howard,D., Batra,D., Cook,P.W., Caravas,J., Rambo-Martin,B., Sammons,S., Unoarumhi,Y., Schmerer,M., Lacek,K.A., Kendall,T., Caban Figueroa,V., Morrison,S., Gulvick,C., Agarwal,M., Almasri,E., Boles,D., Burns,A., Charoensri,N., Cohen,O., Countryman,S., Cristobal,M.A., Croy,B., Dale,S., Deshmukh,H., Douglas,A., Drouillon,V., Eisenberg,M., Engler,H., Ghatti,R., Gupta,P., Hicks,S., Humphrey,J., Iyer,L., Pfefferle,L., Jain,M., Robinson,M., Kolli,M., Krueger,B., Kuphal,T., Letovsky,S., Levandoski,M., Lukasik,C., Meltzer,J., Norvell,B., Nye,M., Parker,S., Petropoulos,C., Pruitt,J., Ragan,S., Ryan,S., Sapeta,M., Schroth,J., Selvaraju,S.B., Stevovic,G., Suchanek,A., Throop,A., Tilson,L., Urban,T., Voshell,J., Wagner,K., Williams,J., Williamson,M., Zeng,Q., Zwiefelhofer,T., Paden,C.R., MacCannell,D., Sula,E.","Centers for Disease Control and Prevention, Respiratory Viruses Branch, Division of Viral Diseases",USA,03-05-2022,BA.2,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,NY-CDC-LC0588312,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29427,partial,,,,USA: New York,USA,NY,Homo sapiens,oronasopharynx,18-04-2022,SAMN28049741,PRJNA716984
OP354572,Severe acute respiratory syndrome coronavirus 2,GenBank,"Bankers,L., Bogale,H.N., Hetherington-Rauth,M.C., Ir,D., Matzinger,S.R., Rossheim,A., Smith,A.","CDPHE SARS-CoV-2 submissions, Department of Microbiology",USA,01-09-2022,BA.2.12.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,TRUE,CO-CDPHE-2103389968,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29724,partial,,,,USA,USA,,Homo sapiens,,21-06-2022,SAMN30596461,PRJNA686984
OU691816,Severe acute respiratory syndrome coronavirus 2,GenBank,"Lighthouse Laboratory,Plymouth., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,18-09-2021,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,02-09-2021,SAMEA9929877,PRJEB37886
OY476413,Severe acute respiratory syndrome coronavirus 2,GenBank,,"Public Health Wales Microbiology Cardiff, University Hospital Wales Cardiff Wales Cf14 4Xw",,25-07-2023,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,complete,,,,United Kingdom:Wales,United Kingdom,,Homo sapiens,,06-09-2021,SAMEA10197144,PRJEB37886
OV703304,Severe acute respiratory syndrome coronavirus 2,GenBank,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,24-01-2022,BA.1.1,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29873,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,11-01-2022,SAMEA12357983,PRJEB37886
OU555322,Severe acute respiratory syndrome coronavirus 2,GenBank,"The Lighthouse Lab in Milton,Keynes., Alderton,A., Amato,R., Barrett,J., Goncalves,S., Harrison,E., Jackson,D.K., Johnston,I., Kwiatkowski,D., Langford,C., Sillitoe,J., The Wellcome Sanger Institute COVID-19 Surveillance,Team.","Wellcome Sanger Institute, Hinxton, Cambridgeshire, CB10 1SA",United Kingdom,21-08-2021,AY.4,4.3.1/1.31/v0.1.12/0.3.19/0.6.2,,,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,ssRNA(+),29890,partial,,,,United Kingdom:England,United Kingdom,,Homo sapiens,,07-08-2021,SAMEA9708183,PRJEB37886
